<<,Price
ASSET:DEEMED.CAPITAL,1303128000,0
ASSET.CAPITAL.TRUSTS:PXUPA.ASX,1265371200,60.809538
^,1246377600,26.100000
^,1223899200,55.050000
^,1214841600,69.250000
^,1205409600,73.000000
^,946742400,0
ASSET.CAPITAL.TRUSTS:HHY.ASX,1394798400,0.329140
^,1341072000,1.230000
^,1309449600,1.110000
^,1305028800,1.143918
^,1297252800,1.222698
^,1296129600,1.367301
^,1289563200,1.225140
^,1282910400,1.146158
^,1275048000,1.161590
^,1273492800,1.265269
^,1272369600,1.370623
^,1246377600,1.120000
^,1233144000,0.985000
^,1227873600,0.985000
^,1227787200,0.985000
^,1227009600,0.995000
^,1226923200,0.995000
^,946742400,0
ASSET.CAPITAL.TRUSTS:ETPMPD.ASX,1335873600,64.297273
^,1332936000,61.950000
^,946742400,0
ASSET.CAPITAL.TRUSTS:CPA.ASX,1328875200,0.969030
^,1309449600,0.940000
^,1290168000,0.838313
^,1260446400,0.922499
^,1259841600,0.954598
^,1257422400,0.919256
^,1255435200,0.995402
^,946742400,0
ASSET.CAPITAL.TRUSTS:CBAPB.ASX,1257249600,188.866346
^,1246377600,191.500000
^,1218715200,189.500000
^,946742400,0
ASSET.CAPITAL.TRUSTS:AYT.ASX,1283947200,1.538485
^,1272369600,1.547003
^,1246377600,1.160000
^,1234785600,1.700000
^,1229342400,1.245000
^,1227528000,1.255000
^,946742400,0
ASSET.CAPITAL.TRUSTS:AYF.ASX,1548950400,5.770000
^,1548864000,5.820000
^,1548777600,5.820000
^,1548432000,5.770000
^,1548172800,5.760000
^,1548086400,5.800000
^,1547899200,2.880000
^,1547827200,5.760000
^,1547740800,5.750000
^,1547726400,5.760000
^,1547654400,5.750000
^,1547222400,5.710000
^,1547049600,5.830000
^,1546617600,5.830000
^,1546531200,5.830000
^,1546444800,5.830000
^,1546012800,5.800000
^,1545408000,5.800000
^,1545235200,5.840000
^,1544803200,5.780000
^,1544716800,5.800000
^,1544630400,5.800000
^,1544544000,5.800000
^,1544457600,5.840000
^,1544025600,5.770000
^,1543939200,5.850000
^,1543852800,5.900000
^,1543507200,5.860000
^,1543420800,5.900000
^,1543248000,5.860000
^,1542902400,5.950000
^,1542816000,5.900000
^,1542124800,5.850000
^,1542038400,5.850000
^,1541692800,5.870000
^,1541433600,5.870000
^,1541174400,5.960000
^,1541088000,5.910000
^,1540828800,5.990000
^,1540569600,6.070000
^,1540310400,5.850000
^,1540224000,5.850000
^,1539792000,5.850000
^,1539360000,5.950000
^,1539273600,5.910000
^,1538582400,5.950000
^,1538409600,5.950000
^,1538150400,5.900000
^,1538064000,5.900000
^,1537977600,5.980000
^,1537891200,5.980000
^,1537804800,5.980000
^,1537545600,5.950000
^,1537372800,5.900000
^,1537286400,5.970000
^,1537200000,5.980000
^,1536940800,5.980000
^,1536854400,5.940000
^,1536336000,5.930000
^,1536321600,5.930000
^,1536163200,5.920000
^,1535990400,5.980000
^,1535731200,6
^,1535558400,5.990000
^,1535385600,5.950000
^,1535126400,5.980000
^,1535112000,5.977120
^,1535040000,5.960000
^,1534953600,5.960000
^,1534867200,5.960000
^,1534780800,5.990000
^,1534521600,5.960000
^,1534435200,5.930000
^,1534348800,5.930000
^,1534334400,5.960000
^,1534262400,5.950000
^,1534248000,5.942570
^,1534176000,5.960000
^,1533916800,5.900000
^,1533830400,5.920000
^,1533744000,5.950000
^,1533657600,5.950000
^,1533571200,5.930000
^,1533312000,5.920000
^,1533225600,5.920000
^,1533139200,5.950000
^,1533052800,5.950000
^,1532966400,5.960000
^,1532707200,5.960000
^,1532620800,5.960000
^,1532534400,5.960000
^,1532448000,5.960000
^,1532361600,5.950000
^,1532102400,5.950000
^,1532016000,5.910000
^,1531929600,5.950000
^,1531843200,5.910000
^,1531756800,5.950000
^,1531497600,5.950000
^,1531411200,5.910000
^,1530892800,5.950000
^,1530806400,5.910000
^,1530720000,5.950000
^,1530633600,5.850000
^,946742400,0
ASSET.CAPITAL.TRUSTS:AGF.ASX,1406635200,0.779200
^,1404144000,0.660000
^,1395835200,0.765398
^,1381492800,0.774016
^,1376481600,0.740000
^,946742400,0
ASSET.CAPITAL.TRUSTS:AFIG.ASX,1472558400,116.971792
^,1467302400,109.000000
^,1435680000,116.500000
^,1429185600,121.000000
^,1411646400,115.050000
^,1404144000,118.800000
^,1392897600,116.000000
^,946742400,0
ASSET.CAPITAL.SHARES:ZML.ASX,1495123200,0.670000
^,1495036800,0.690000
^,1494950400,0.685000
^,1494864000,0.680000
^,1494604800,0.690000
^,1494518400,0.700000
^,1494345600,0.690000
^,1494259200,0.695000
^,1494000000,0.700000
^,1493913600,0.695000
^,1493827200,0.685000
^,1493740800,0.700000
^,1493654400,0.695000
^,1493395200,0.710000
^,1493308800,0.690000
^,1493222400,0.715000
^,1492790400,0.700000
^,1492704000,0.730000
^,1492617600,0.705000
^,1492099200,0.740000
^,1492012800,0.715000
^,1491926400,0.740000
^,1491840000,0.755000
^,1491580800,0.750000
^,1491494400,0.740000
^,1491408000,0.720000
^,1491321600,0.740000
^,1491235200,0.760000
^,1490976000,0.755000
^,1490889600,0.745000
^,1490803200,0.700000
^,1490716800,0.720000
^,1490630400,0.710000
^,1490371200,0.700000
^,1490284800,0.690000
^,1490112000,0.680000
^,1490025600,0.665000
^,1489766400,0.645000
^,1489680000,0.660000
^,1489593600,0.690000
^,1489507200,0.710000
^,1489420800,0.720000
^,1489161600,0.700000
^,1489075200,0.730000
^,1488902400,0.760000
^,1488816000,0.755000
^,1488556800,0.780000
^,1488470400,0.735000
^,1488384000,0.750000
^,1488297600,0.790000
^,1488211200,0.770000
^,1487952000,0.735000
^,1487865600,0.700000
^,1487779200,0.735000
^,1487692800,0.700000
^,1487606400,0.720000
^,1487347200,0.730000
^,1487088000,0.750000
^,1486742400,0.745000
^,1486483200,0.730000
^,1486396800,0.745000
^,1486137600,0.750000
^,1486051200,0.775000
^,1485964800,0.760000
^,1485878400,0.780000
^,1485792000,0.770000
^,1485532800,0.765000
^,1485360000,0.775000
^,1485273600,0.785000
^,1485187200,0.780000
^,1484928000,0.770000
^,1484841600,0.745000
^,1484755200,0.730000
^,1484582400,0.750000
^,1484150400,0.760000
^,1483459200,0.790000
^,1483113600,0.750000
^,1483027200,0.745000
^,1482940800,0.740000
^,1482508800,0.790000
^,1482422400,0.795000
^,1482336000,0.770000
^,1482249600,0.800000
^,1482163200,0.790000
^,1481904000,0.770000
^,1481817600,0.750000
^,1481731200,0.770000
^,1481644800,0.785000
^,1481558400,0.765000
^,1481212800,0.800000
^,1481126400,0.790000
^,1481040000,0.800000
^,1480953600,0.785000
^,1480694400,0.805000
^,1480521600,0.840000
^,1480435200,0.835000
^,1480089600,0.850000
^,1480003200,0.840000
^,1479916800,0.850000
^,1479830400,0.895000
^,1479744000,0.880000
^,1479484800,0.870000
^,1479312000,0.875000
^,1479225600,0.880000
^,1479139200,0.865000
^,1478793600,0.870000
^,1478707200,0.820000
^,1478620800,0.850000
^,1478534400,0.835000
^,1478275200,0.815000
^,1478188800,0.850000
^,1478102400,0.830000
^,1478016000,0.860000
^,1477929600,0.875000
^,1477670400,0.880000
^,1477584000,0.870000
^,1477497600,0.840000
^,946742400,0
ASSET.CAPITAL.SHARES:WPL.ASX,1376049600,38.303324
^,1372608000,35.010000
^,1349179200,33.023333
^,1341072000,31.020000
^,1333540800,39.492500
^,1318334400,35.870000
^,1314360000,32.686667
^,1309449600,40.900000
^,1302091200,50.410000
^,1294660800,43.164865
^,946742400,0
ASSET.CAPITAL.SHARES:WLEO.ASX,1510243200,0.033000
^,1510156800,0.037000
^,1510070400,0.040000
^,1509984000,0.037000
^,1509724800,0.038000
^,1509638400,0.035000
^,1509552000,0.034000
^,1509465600,0.025000
^,1509379200,0.022000
^,1509033600,0.024000
^,1508860800,0.026000
^,1508515200,0.028000
^,1508428800,0.027000
^,1508342400,0.020000
^,946742400,0
ASSET.CAPITAL.SHARES:WLE.ASX,1549036800,1.085000
^,1543334400,1.095000
^,1543248000,1.090000
^,1542988800,1.085000
^,1542902400,1.095000
^,1542816000,1.080000
^,1542729600,1.095000
^,1542643200,1.105000
^,1542384000,1.105000
^,1542297600,1.105000
^,1542211200,1.110000
^,1542124800,1.125000
^,1542038400,1.135000
^,1541779200,1.135000
^,1541692800,1.130000
^,1541606400,1.120000
^,1541520000,1.120000
^,1541433600,1.120000
^,1541174400,1.120000
^,1541088000,1.115000
^,1541001600,1.110000
^,1540915200,1.105000
^,1540828800,1.105000
^,1540569600,1.110000
ASSET.CAPITAL.SHARES:WHFPB.ASX,1469620800,109.907255
^,1469462400,110.250000
^,1469116800,110.210000
^,1469030400,110.250000
^,1468944000,110.500000
^,1468598400,110.250000
^,1467388800,110.490000
^,1467302400,110.000000
^,1467129600,110.490000
^,1467043200,108.700000
^,1466611200,109.000000
^,1466006400,109.010000
^,1465920000,109.001000
^,1465315200,109.000000
^,1465228800,109.500000
^,1464796800,109.990000
^,1464710400,110.200000
^,1464364800,110.000000
^,1464278400,113.500000
^,1464105600,114.010000
^,1463760000,113.600000
^,1463500800,113.150000
^,1462550400,113.000000
^,1462464000,112.500000
^,1461945600,112.000000
^,1461772800,112.400000
^,1461254400,111.800000
^,1459785600,111.700000
^,1459526400,112.000000
^,1459353600,112.400000
^,1459267200,112.300000
^,1458576000,112.500000
^,1458316800,112.000000
^,1458230400,112.010000
^,1457971200,112.950000
^,1457712000,112.490000
^,1456761600,111.500000
^,1455811200,111.000000
^,1455638400,110.000000
^,1455033600,109.600000
^,1454947200,110.000000
^,1454083200,109.700000
^,1453478400,109.550000
^,1453392000,109.800000
^,1453305600,110.100000
^,1453219200,110.200000
^,1453132800,110.000000
^,1452873600,110.950000
^,1452528000,110.000000
^,1452182400,110.010000
^,1452009600,110.500000
^,1450886400,110.000000
^,1450800000,109.800000
^,1450368000,109.550000
^,1450108800,109.500000
^,1449849600,109.700000
^,1449763200,109.500000
^,1449504000,110.500000
^,1449244800,109.250000
^,1449072000,110.800000
^,1448553600,110.500000
^,1448294400,110.800000
^,1448035200,110.700000
^,1447948800,114.700000
^,1447862400,115.000000
^,1447776000,114.600000
^,1447344000,115.000000
^,1447171200,114.990000
^,1435680000,112.970000
^,1415707200,115.500000
^,1415361600,115.000000
^,1404144000,113.500000
^,1388404800,112.500000
^,1372608000,112.000000
^,1370347200,113.250000
^,1343649600,100.000000
^,946742400,0
ASSET.CAPITAL.SHARES:WHF.ASX,1549036800,4.370000
^,1548950400,4.330000
^,1548864000,4.350000
^,1548777600,4.350000
^,1548432000,4.350000
^,1548345600,4.290000
^,1548259200,4.300000
^,1548172800,4.300000
^,1548086400,4.330000
^,1547827200,4.320000
^,1547740800,4.280000
^,1547654400,4.300000
^,1547568000,4.280000
^,1547481600,4.260000
^,1547222400,4.250000
^,1547136000,4.250000
^,1547049600,4.250000
^,1546963200,4.240000
^,1546876800,4.250000
^,1546617600,4.200000
^,1546531200,4.200000
^,1546444800,4.190000
^,1546272000,4.210000
^,1546012800,4.200000
^,1545926400,4.200000
^,1545667200,4.160000
^,1545408000,4.150000
^,1545321600,4.180000
^,1545235200,4.180000
^,1545148800,4.180000
^,1545062400,4.200000
^,1544803200,4.200000
^,1544716800,4.260000
^,1544630400,4.250000
^,1544616000,4.234706
^,1544544000,4.240000
^,1544457600,4.100000
^,1544198400,4.320000
^,1544112000,4.270000
^,1544025600,4.300000
^,1543939200,4.290000
^,1543852800,4.370000
^,1543593600,4.340000
^,1543507200,4.340000
^,1543420800,4.370000
^,1543334400,4.390000
^,1543248000,4.350000
^,1542988800,4.340000
^,1542902400,4.430000
^,1542816000,4.350000
^,1542729600,4.470000
^,1542643200,4.490000
^,1542384000,4.530000
^,1542297600,4.520000
^,1542211200,4.480000
^,1542124800,4.570000
^,1542038400,4.550000
^,1541779200,4.580000
^,1541692800,4.590000
^,1541606400,4.590000
^,1541520000,4.540000
^,1541433600,4.510000
^,1541174400,4.510000
^,1541088000,4.500000
^,1541001600,4.500000
^,1540915200,4.530000
^,1540828800,4.490000
^,1540569600,4.490000
^,1540483200,4.490000
^,1540396800,4.560000
^,1540310400,4.600000
^,1540224000,4.620000
^,1539964800,4.680000
^,1539878400,4.580000
